Train Size,Test Size,Train Score R_square,Test Score R_square,Train MSE,Test MSE
191,191,0.8717679995997276,0.8302530938825228,36.850693723606405,50.33421320728392
382,191,0.8772243216100124,0.7863517384472292,36.850693723606405,50.33421320728392
573,191,0.8597766808870749,0.7892509001076673,36.850693723606405,50.33421320728392
764,191,0.8478632964622969,0.8382332527102573,36.850693723606405,50.33421320728392
955,191,0.8485405554600063,0.8315541279044973,36.850693723606405,50.33421320728392
1146,191,0.8475662925538154,0.8306310110077177,36.850693723606405,50.33421320728392
1337,191,0.846124084003804,0.7703063551787852,36.850693723606405,50.33421320728392
1528,191,0.8397142517764801,0.7447482080260077,36.850693723606405,50.33421320728392
1719,191,0.8328173050836014,0.64624443390967,36.850693723606405,50.33421320728392
1910,191,0.8243861258617782,0.6627124970447729,36.850693723606405,50.33421320728392
