Train Size,Test Size,Train Score R_square,Test Score R_square,Train MSE,Test MSE
202,193,0.9318344684831285,0.8117437477227165,29.865891554928698,61.19826186015576
395,193,0.9261357693956563,0.8480133722658989,29.865891554928698,61.19826186015576
588,193,0.9280149935597182,0.8096788893453543,29.865891554928698,61.19826186015576
781,193,0.9233895606719503,0.8200117731532754,29.865891554928698,61.19826186015576
974,193,0.9207720593324635,0.8408433867619869,29.865891554928698,61.19826186015576
1167,193,0.9205696747618126,0.8096114400114024,29.865891554928698,61.19826186015576
1360,193,0.9169714263452757,0.8425746622203505,29.865891554928698,61.19826186015576
1553,193,0.9154368680214499,0.8213361396622121,29.865891554928698,61.19826186015576
1746,193,0.9126801300632331,0.8125005284884408,29.865891554928698,61.19826186015576
1939,193,0.9095340744665943,0.8458687459355216,29.865891554928698,61.19826186015576
