Train Size,Test Size,Train Score R_square,Test Score R_square,Train MSE,Test MSE
197,188,0.8941397623984094,0.7760350188201702,32.130977708240124,50.50406283267257
385,188,0.8696808066257495,0.6509322457368347,32.130977708240124,50.50406283267257
573,188,0.855228176176781,0.7600578562122766,32.130977708240124,50.50406283267257
761,188,0.8422172244700402,0.846186426579125,32.130977708240124,50.50406283267257
949,188,0.8488784051306983,0.846011777367678,32.130977708240124,50.50406283267257
1137,188,0.8552416694904293,0.7533996172947206,32.130977708240124,50.50406283267257
1325,188,0.844464687407683,0.7911730677842668,32.130977708240124,50.50406283267257
1513,188,0.8386545443318858,0.8037299254098293,32.130977708240124,50.50406283267257
1701,188,0.8363410902487951,0.768531875577672,32.130977708240124,50.50406283267257
1889,188,0.8329212688430596,0.7538794483883584,32.130977708240124,50.50406283267257
