Forecaster,Importance
yhat_tbats,0.3797856933142351
yhat_lstm,0.27613009334050975
yhat_prophet,0.19253351320992088
hour,0.10264523018994143
error_yhat_prophet_lag24,0.022756352729751607
rank_lstm,0.010534408659124273
error_yhat_tbats_lag24,0.008426816584494746
error_yhat_lstm_lag24,0.004127915026696294
rank_tbats,0.002409304517197456
rank_prophet,0.0006506724281283602
