Date,Training_Time
2022-09-01_2022-11-30,2025.3404726982117
2022-12-01_2023-02-28,3768.5459678173065
2023-03-01_2023-05-31,2439.764425754547
2023-06-01_2023-08-31,2347.4401018619537
