date,forecasted_values
2023-05-12 19:00:00,37.28495202818882
2023-05-12 20:00:00,27.26981442640495
2023-05-12 21:00:00,17.917944575136953
2023-05-12 22:00:00,11.518426129672081
2023-05-12 23:00:00,8.594450842723015
2023-05-13 00:00:00,7.727191451502126
2023-05-13 01:00:00,7.927027772348965
2023-05-13 02:00:00,8.360428084471952
2023-05-13 03:00:00,8.642131869475955
2023-05-13 04:00:00,9.189525190743108
2023-05-13 05:00:00,11.01111259610776
2023-05-13 06:00:00,15.411343461902597
2023-05-13 07:00:00,23.607710675149956
2023-05-13 08:00:00,35.25662072862415
2023-05-13 09:00:00,47.07542848044897
2023-05-13 10:00:00,54.950245232868724
2023-05-13 11:00:00,57.55661716800798
2023-05-13 12:00:00,56.24542213792276
2023-05-13 13:00:00,52.746080912954206
2023-05-13 14:00:00,48.4211000578026
2023-05-13 15:00:00,44.61232274570738
2023-05-13 16:00:00,42.34049304311551
2023-05-13 17:00:00,41.37261213247465
2023-05-13 18:00:00,39.67536011105766
2023-05-13 19:00:00,34.61242146023458
2023-05-13 20:00:00,26.113222234804724
2023-05-13 21:00:00,17.455244798128135
2023-05-13 22:00:00,11.518467678947637
2023-05-13 23:00:00,8.594450838527859
2023-05-14 00:00:00,7.727191451502624
2023-05-14 01:00:00,7.927027772348965
2023-05-14 02:00:00,8.360428084471952
2023-05-14 03:00:00,8.642131869475946
2023-05-14 04:00:00,9.189525190743097
2023-05-14 05:00:00,11.011112596107735
2023-05-14 06:00:00,15.411343461902563
2023-05-14 07:00:00,23.60771067514993
2023-05-14 08:00:00,35.256620728624114
2023-05-14 09:00:00,47.07542848044897
2023-05-14 10:00:00,54.950245232868724
2023-05-14 11:00:00,57.55661716800798
2023-05-14 12:00:00,56.24542213792276
2023-05-14 13:00:00,52.746080912954156
2023-05-14 14:00:00,48.42110005780265
2023-05-14 15:00:00,44.61232274570738
2023-05-14 16:00:00,42.34049304311551
2023-05-14 17:00:00,41.37261213247469
2023-05-14 18:00:00,39.67536011105766
2023-05-14 19:00:00,34.61242146023458
2023-05-14 20:00:00,26.113222234804724
2023-05-14 21:00:00,17.455244798128135
2023-05-14 22:00:00,11.518467678947637
2023-05-14 23:00:00,8.59445083852787
2023-05-15 00:00:00,7.727191451502624
2023-05-15 01:00:00,7.927027772348965
2023-05-15 02:00:00,8.360428084471952
2023-05-15 03:00:00,8.642131869475936
2023-05-15 04:00:00,9.189525190743087
2023-05-15 05:00:00,11.011112596107735
2023-05-15 06:00:00,15.411343461902545
2023-05-15 07:00:00,23.607710675149907
2023-05-15 08:00:00,35.256620728624114
2023-05-15 09:00:00,47.07542848044897
2023-05-15 10:00:00,54.950245232868724
2023-05-15 11:00:00,57.55661716800798
2023-05-15 12:00:00,56.24542213792281
2023-05-15 13:00:00,52.746080912954255
2023-05-15 14:00:00,48.42110005780265
2023-05-15 15:00:00,44.612322745707466
2023-05-15 16:00:00,42.34049304311551
2023-05-15 17:00:00,41.37261213247469
2023-05-15 18:00:00,39.67536011105769
2023-05-15 19:00:00,34.61242146023458
2023-05-15 20:00:00,26.11322223480475
2023-05-15 21:00:00,17.455244798128156
2023-05-15 22:00:00,11.518467678947637
2023-05-15 23:00:00,8.59445083852788
2023-05-16 00:00:00,7.727191451502624
2023-05-16 01:00:00,7.927027772348965
2023-05-16 02:00:00,8.360428084471943
2023-05-16 03:00:00,8.642131869475936
2023-05-16 04:00:00,9.189525190743076
2023-05-16 05:00:00,11.01111259610771
2023-05-16 06:00:00,15.411343461902527
2023-05-16 07:00:00,23.607710675149907
2023-05-16 08:00:00,35.25662072862408
2023-05-16 09:00:00,47.07542848044897
2023-05-16 10:00:00,54.950245232868774
2023-05-16 11:00:00,57.55661716800803
2023-05-16 12:00:00,56.245422137922866
2023-05-16 13:00:00,52.746080912954255
2023-05-16 14:00:00,48.42110005780265
2023-05-16 15:00:00,44.612322745707466
2023-05-16 16:00:00,42.34049304311551
2023-05-16 17:00:00,41.372612132474735
2023-05-16 18:00:00,39.67536011105769
2023-05-16 19:00:00,34.612421460234614
2023-05-16 20:00:00,26.11322223480475
2023-05-16 21:00:00,17.455244798128156
2023-05-16 22:00:00,11.518467678947637
2023-05-16 23:00:00,8.59445083852788
2023-05-17 00:00:00,7.727191451502624
2023-05-17 01:00:00,7.927027772348965
2023-05-17 02:00:00,8.360428084471943
2023-05-17 03:00:00,8.642131869475925
2023-05-17 04:00:00,9.189525190743066
2023-05-17 05:00:00,11.011112596107695
2023-05-17 06:00:00,15.411343461902494
2023-05-17 07:00:00,23.60771067514986
2023-05-17 08:00:00,35.25662072862408
2023-05-17 09:00:00,47.07542848044897
2023-05-17 10:00:00,54.950245232868824
2023-05-17 11:00:00,57.55661716800809
2023-05-17 12:00:00,56.245422137922866
2023-05-17 13:00:00,52.746080912954255
2023-05-17 14:00:00,48.42110005780265
2023-05-17 15:00:00,44.612322745707466
2023-05-17 16:00:00,42.34049304311555
2023-05-17 17:00:00,41.372612132474735
2023-05-17 18:00:00,39.67536011105773
2023-05-17 19:00:00,34.61242146023465
2023-05-17 20:00:00,26.113222234804777
2023-05-17 21:00:00,17.455244798128174
2023-05-17 22:00:00,11.518467678947664
2023-05-17 23:00:00,8.59445083852788
2023-05-18 00:00:00,7.727191451502624
2023-05-18 01:00:00,7.927027772348965
2023-05-18 02:00:00,8.360428084471943
2023-05-18 03:00:00,8.642131869475914
2023-05-18 04:00:00,9.189525190743055
2023-05-18 05:00:00,11.011112596107683
2023-05-18 06:00:00,15.41134346190246
