params,mse,mae,mape
"{'units': 100, 'batch_size': 10, 'epochs': 100}",49.21762910585105,5.046894897436633,0.7505315647775853
"{'units': 100, 'batch_size': 16, 'epochs': 100}",51.34607345336608,5.1911201954598765,0.8085461366600707
"{'units': 100, 'batch_size': 20, 'epochs': 100}",48.30162292022353,4.893257791293521,0.6961158790614994
"{'units': 500, 'batch_size': 10, 'epochs': 100}",48.59319880880705,5.004996144255216,0.7551029128068117
"{'units': 500, 'batch_size': 16, 'epochs': 100}",49.17003594623363,5.039092639182382,0.794105482248906
"{'units': 500, 'batch_size': 20, 'epochs': 100}",50.597033344599815,5.166470729733467,0.8672583847464496
"{'units': 1000, 'batch_size': 10, 'epochs': 100}",48.92734878680088,4.973506275212773,0.7143938833602999
"{'units': 1000, 'batch_size': 16, 'epochs': 100}",48.997843964772926,4.893484283579287,0.6321045906306225
"{'units': 1000, 'batch_size': 20, 'epochs': 100}",48.8622456949452,4.8786358132884295,0.697762783097591
