params,mse,mae,mape
"{'units': 100, 'batch_size': 10, 'epochs': 100}",106.3166458323065,7.370363679887543,0.2801965789229585
"{'units': 100, 'batch_size': 16, 'epochs': 100}",102.52042331411747,7.386545941896895,0.3118603429198193
"{'units': 100, 'batch_size': 20, 'epochs': 100}",101.76139555135961,7.399133196270586,0.31925007261176663
"{'units': 500, 'batch_size': 10, 'epochs': 100}",104.83054592841621,7.339811263414598,0.27980629327455686
"{'units': 500, 'batch_size': 16, 'epochs': 100}",100.82339469185877,7.243498960685513,0.2833421662833855
"{'units': 500, 'batch_size': 20, 'epochs': 100}",100.33188911971948,7.268030490584011,0.29171921322314787
"{'units': 1000, 'batch_size': 10, 'epochs': 100}",105.3260610033148,7.350575123683807,0.2795132784366319
"{'units': 1000, 'batch_size': 16, 'epochs': 100}",101.05622058980352,7.2563608656193805,0.28252248569423055
"{'units': 1000, 'batch_size': 20, 'epochs': 100}",100.77415683866364,7.29274407855206,0.2913354639491202
