params,mse,mae,mape
"{'units': 100, 'batch_size': 10, 'epochs': 100}",58.93141338238809,5.560161358553047,0.412484348610889
"{'units': 100, 'batch_size': 16, 'epochs': 100}",59.36922172373838,5.525274133674101,0.4024720984168738
"{'units': 100, 'batch_size': 20, 'epochs': 100}",59.44911784570333,5.491863732248268,0.38768932250693783
"{'units': 500, 'batch_size': 10, 'epochs': 100}",59.893147636534785,5.658803442295835,0.42593194916700605
"{'units': 500, 'batch_size': 16, 'epochs': 100}",60.12849052578712,5.6258716318378,0.41589858940738983
"{'units': 500, 'batch_size': 20, 'epochs': 100}",60.352593252027255,5.628080954234261,0.4180472989349008
"{'units': 1000, 'batch_size': 10, 'epochs': 100}",59.77231958594017,5.647333324903247,0.42368040050747097
"{'units': 1000, 'batch_size': 16, 'epochs': 100}",60.11458380494915,5.621851750547511,0.4097736054127076
"{'units': 1000, 'batch_size': 20, 'epochs': 100}",60.17976599256127,5.627015925166206,0.4162351866743571
