Train Size,Test Size,Train Score R_square,Test Score R_square
205,197,0.901343265458002,0.8381166182404818
402,197,0.8881171470371871,0.8435126450969441
599,197,0.8846830049363492,0.7710510208469792
796,197,0.8743936785835281,0.7866358857266091
993,197,0.8652421706804478,0.8071360082129035
1190,197,0.8603454009081515,0.8275703168617567
1387,197,0.8622890018847533,0.8745738306012953
1584,197,0.8658433381056397,0.8627462366663434
1781,197,0.8653205922029208,0.8211353910123912
1978,197,0.8634185768060744,0.8388866891739931
