Train Size,Test Size,Train Score R_square,Test Score R_square
195,193,0.9059464133747939,0.8423637870413103
388,193,0.8967926746703148,0.7468491782877018
581,193,0.8797252428640476,0.7671215682401399
774,193,0.8697371250030932,0.8212015571214848
967,193,0.8675389332848438,0.848487547927428
1160,193,0.869876711728851,0.8156580538749036
1353,193,0.8646878331424857,0.790837716665744
1546,193,0.8570282242752297,0.826500467027822
1739,193,0.8558000712753707,0.7995093522104402
1932,193,0.8514063617325008,0.7866200301087163
