Train Size,Test Size,Train Score R_square,Test Score R_square
200,198,0.9004643000729373,0.8218600392754456
398,198,0.8893178027354797,0.8679842128136165
596,198,0.8896330651909531,0.8323260988728738
794,198,0.8810288437878927,0.8478895487317549
992,198,0.8791271479755987,0.8572789266140558
1190,198,0.8792117828761675,0.8417481449984163
1388,198,0.8745494393990615,0.859341764623732
1586,198,0.8744192299330128,0.8426564091245625
1784,198,0.8716970117734322,0.8041209923017297
1982,198,0.8690621037769268,0.8453908023096947
