Train Size,Test Size,Train Score R_square,Test Score R_square
140,132,0.8693521414500168,0.8542084078234866
272,132,0.8946233003038214,0.8535727464720114
404,132,0.900777010536086,0.839043617010799
536,132,0.8930457416119573,0.8299381756327531
668,132,0.8863067989069575,0.8584502457199568
800,132,0.883386194951263,0.8539012878405566
932,132,0.881555951513404,0.8638643963823156
1064,132,0.8805255813148312,0.8355887502226527
1196,132,0.8776111663828264,0.8178772186746184
1328,132,0.8791283243590192,0.825840193846757
