Train Size,Test Size,Train Score R_square,Test Score R_square
130,130,0.9100796370677768,0.7975614348946557
260,130,0.8962818132609681,0.8590430695869775
390,130,0.8934773907793327,0.8462307587050097
520,130,0.8873180875319273,0.7884937057887129
650,130,0.8779266541239665,0.8243777988972509
780,130,0.8741485871394636,0.8093131684309308
910,130,0.869785924028976,0.8295676405844188
1040,130,0.8677100371711624,0.8422868494460173
1170,130,0.8669522917481944,0.7934381891979507
1300,130,0.8637644528158521,0.8142046463094001
