Train Size,Test Size,Train Score R_square,Test Score R_square
130,125,0.8916672038523464,0.830931315312682
255,125,0.8935217745302413,0.8644906008860003
380,125,0.897780834956882,0.7089480710228817
505,125,0.8692705430246248,0.8313940748338924
630,125,0.8661463753298841,0.7415368549314195
755,125,0.8580137638734194,0.8729239423685499
880,125,0.8626245394586822,0.8044082215010515
1005,125,0.8595139915020942,0.8371698734870743
1130,125,0.858413266756586,0.8097672653979869
1255,125,0.8556570997349059,0.8153527933668707
