date,yhat
2023-01-01 07:00:00,14.059340076527528
2023-01-01 08:00:00,23.929262741703674
2023-01-01 09:00:00,32.748438875048684
2023-01-01 10:00:00,37.961209577480275
2023-01-01 11:00:00,38.93753084464881
2023-01-01 12:00:00,37.024525247608615
2023-01-01 13:00:00,34.338670013478534
2023-01-01 14:00:00,32.32203856003511
2023-01-01 15:00:00,31.094661687011616
2023-01-01 16:00:00,29.84428377756597
2023-01-01 17:00:00,27.67973139768825
2023-01-01 18:00:00,24.213098139667967
2023-01-01 19:00:00,19.613394223157027
2023-01-01 20:00:00,14.399030549177974
2023-01-01 21:00:00,9.297131143170038
2023-01-01 22:00:00,5.162789142801101
2023-01-01 23:00:00,2.721824237162709
2023-01-02 00:00:00,-0.9524188709272359
2023-01-02 01:00:00,-0.47255873443430474
2023-01-02 02:00:00,-0.1355610042096025
2023-01-02 03:00:00,-0.7006642285470477
2023-01-02 04:00:00,-1.5798436595903986
2023-01-02 05:00:00,-0.9265729093038466
2023-01-02 06:00:00,3.1412653698359296
2023-01-02 07:00:00,10.998093022264284
2023-01-02 08:00:00,20.868015687811784
2023-01-02 09:00:00,29.687191820864147
2023-01-02 10:00:00,34.899962523464126
2023-01-02 11:00:00,35.876283790695425
2023-01-02 12:00:00,33.963278193615146
2023-01-02 13:00:00,31.27742295967755
2023-01-02 14:00:00,29.260791506118828
2023-01-02 15:00:00,28.033414632970327
2023-01-02 16:00:00,26.78303672373002
2023-01-02 17:00:00,24.61848434377559
2023-01-02 18:00:00,21.151851085695206
2023-01-02 19:00:00,16.552147169134628
2023-01-02 20:00:00,11.337783495348592
2023-01-02 21:00:00,6.2358840891619565
2023-01-02 22:00:00,2.1015420888257523
2023-01-02 23:00:00,-0.3394228167179847
2023-01-03 00:00:00,2.1088281830249755
2023-01-03 01:00:00,2.5886883195056214
2023-01-03 02:00:00,2.9256860496800883
2023-01-03 03:00:00,2.3605828254611065
2023-01-03 04:00:00,1.481403394248069
2023-01-03 05:00:00,2.1346741445977386
2023-01-03 06:00:00,6.202512423841277
2023-01-03 07:00:00,14.059340076357383
2023-01-03 08:00:00,23.929262741323228
2023-01-03 09:00:00,32.74843887491404
2023-01-03 10:00:00,37.961209577433465
2023-01-03 11:00:00,38.937530844625414
2023-01-03 12:00:00,37.024525247616644
2023-01-03 13:00:00,34.33867001350341
2023-01-03 14:00:00,32.3220385600773
2023-01-03 15:00:00,31.094661686910445
2023-01-03 16:00:00,29.84428377765409
2023-01-03 17:00:00,27.679731397659438
2023-01-03 18:00:00,24.21309813975395
2023-01-03 19:00:00,19.61339422322922
2023-01-03 20:00:00,14.399030549107994
2023-01-03 21:00:00,9.297131143246766
2023-01-03 22:00:00,5.162789142856219
2023-01-03 23:00:00,2.7218242370305195
2023-01-04 00:00:00,2.1088281830789306
2023-01-04 01:00:00,2.5886883194816335
2023-01-04 02:00:00,2.925686049671521
2023-01-04 03:00:00,2.3605828254036894
2023-01-04 04:00:00,1.4814033941882734
2023-01-04 05:00:00,2.134674144601064
2023-01-04 06:00:00,6.202512423919485
2023-01-04 07:00:00,14.059340076552227
2023-01-04 08:00:00,23.92926274153733
2023-01-04 09:00:00,32.74843887506567
2023-01-04 10:00:00,37.96120957747568
2023-01-04 11:00:00,38.937530844737594
2023-01-04 12:00:00,37.024525247521424
2023-01-04 13:00:00,34.338670013557476
2023-01-04 14:00:00,32.32203856005928
2023-01-04 15:00:00,31.094661686934728
2023-01-04 16:00:00,29.8442837776799
2023-01-04 17:00:00,27.679731397769217
2023-01-04 18:00:00,24.213098139708332
2023-01-04 19:00:00,19.613394223105082
2023-01-04 20:00:00,14.39903054931533
2023-01-04 21:00:00,9.297131143136939
2023-01-04 22:00:00,5.162789142808014
2023-01-04 23:00:00,2.7218242370883967
2023-01-05 00:00:00,2.1088281830741096
2023-01-05 01:00:00,2.5886883193968426
2023-01-05 02:00:00,2.9256860496747326
2023-01-05 03:00:00,2.3605828254408756
2023-01-05 04:00:00,1.481403394207021
2023-01-05 05:00:00,2.1346741447308464
2023-01-05 06:00:00,6.202512423681261
2023-01-05 07:00:00,14.059340076187238
2023-01-05 08:00:00,23.929262741751423
2023-01-05 09:00:00,32.7484388752173
2023-01-05 10:00:00,37.96120957735778
2023-01-05 11:00:00,38.937530844682456
2023-01-05 12:00:00,37.024525247633946
2023-01-05 13:00:00,34.33867001348507
2023-01-05 14:00:00,32.32203856004126
2023-01-05 15:00:00,31.094661686959004
2023-01-05 16:00:00,29.844283777705716
2023-01-05 17:00:00,27.679731397628345
2023-01-05 18:00:00,24.21309813963383
2023-01-05 19:00:00,19.61339422314826
2023-01-05 20:00:00,14.399030549176477
2023-01-05 21:00:00,9.297131143027116
2023-01-05 22:00:00,5.162789142759806
2023-01-05 23:00:00,2.7218242371059613
2023-01-06 00:00:00,2.108828182920334
2023-01-06 01:00:00,2.588688319438516
2023-01-06 02:00:00,2.9256860496661634
2023-01-06 03:00:00,2.3605828253834567
2023-01-06 04:00:00,1.4814033941472289
2023-01-06 05:00:00,2.134674144647507
2023-01-06 06:00:00,6.202512423788352
2023-01-06 07:00:00,14.059340076214768
2023-01-06 08:00:00,23.929262741364614
2023-01-06 09:00:00,32.748438874931026
2023-01-06 10:00:00,37.961209577399984
2023-01-06 11:00:00,38.93753084471419
2023-01-06 12:00:00,37.02452524773719
2023-01-06 13:00:00,34.33867001358235
2023-01-06 14:00:00,32.32203856002323
2023-01-06 15:00:00,31.094661687000865
2023-01-06 16:00:00,29.84428377776802
2023-01-06 17:00:00,27.679731397613942
