params,mse,mae,mape
"{'units': 100, 'batch_size': 10, 'epochs': 100}",51.181614251268435,5.110647224941199,1.001354488449855
"{'units': 100, 'batch_size': 16, 'epochs': 100}",51.61121202912178,5.145209212027325,1.0403483029748486
"{'units': 100, 'batch_size': 20, 'epochs': 100}",51.62016416953219,5.124612185508009,1.0018203350885755
"{'units': 500, 'batch_size': 10, 'epochs': 100}",51.09736514461551,5.125343895291073,1.0091308053430712
"{'units': 500, 'batch_size': 16, 'epochs': 100}",51.55421933608328,5.152559240958785,1.0255888778365752
"{'units': 500, 'batch_size': 20, 'epochs': 100}",51.58470793720433,5.169178378074342,1.0619112012818142
"{'units': 1000, 'batch_size': 10, 'epochs': 100}",51.142063460423756,5.126603686565427,0.9954403210969082
"{'units': 1000, 'batch_size': 16, 'epochs': 100}",51.441869160594415,5.148852114539288,1.015899032696181
"{'units': 1000, 'batch_size': 20, 'epochs': 100}",51.49137073709317,5.136586319883317,1.0067162129471976
