params,mse,mae,mape
"{'units': 100, 'batch_size': 10, 'epochs': 100}",41.03580672106788,4.68729059331834,1.2437043454607268
"{'units': 100, 'batch_size': 16, 'epochs': 100}",40.59165274561477,4.5486672118052605,1.074525761766288
"{'units': 100, 'batch_size': 20, 'epochs': 100}",40.326664259259914,4.546532879180178,1.0747250701215711
"{'units': 500, 'batch_size': 10, 'epochs': 100}",45.716915939555136,5.043878084921357,1.4338336721234268
"{'units': 500, 'batch_size': 16, 'epochs': 100}",43.344612145934164,4.754857396001253,1.205660980159046
"{'units': 500, 'batch_size': 20, 'epochs': 100}",39.52231914748141,4.4322855339930465,1.0025559209648394
"{'units': 1000, 'batch_size': 10, 'epochs': 100}",40.15739942550549,4.5395365002015655,1.0953872594258929
"{'units': 1000, 'batch_size': 16, 'epochs': 100}",41.113580192712746,4.568528501553821,1.074656038110818
"{'units': 1000, 'batch_size': 20, 'epochs': 100}",39.37042737035592,4.260648912672272,0.8037720567265823
