date,load
2023-03-01 04:00:00,1.5105555555555557
2023-03-01 05:00:00,5.722957165109035
2023-03-01 06:00:00,12.338620865662534
2023-03-01 07:00:00,18.63963387399738
2023-03-01 08:00:00,28.180549471810796
2023-03-01 09:00:00,26.08330632506314
2023-03-01 10:00:00,37.36538602956105
2023-03-01 11:00:00,42.90038916178972
2023-03-01 12:00:00,34.30091281221351
2023-03-01 13:00:00,39.55328368402464
2023-03-01 14:00:00,39.40936199216258
2023-03-01 15:00:00,26.347507645218197
2023-03-01 16:00:00,21.461739531799793
2023-03-01 17:00:00,42.736510011256
2023-03-01 18:00:00,46.956142921571555
2023-03-01 19:00:00,45.62642295766029
2023-03-01 20:00:00,37.09190116582893
2023-03-01 21:00:00,29.188451037232035
2023-03-01 22:00:00,14.433603729124828
2023-03-01 23:00:00,6.562485618888607
2023-03-02 00:00:00,6.461485618888607
2023-03-02 01:00:00,6.461485618888607
2023-03-02 02:00:00,6.461485618888607
2023-03-02 03:00:00,6.461485618888607
2023-03-02 04:00:00,6.461485618888607
2023-03-02 05:00:00,7.691985618888607
2023-03-02 06:00:00,10.37420784111083
2023-03-02 07:00:00,11.890045133120688
2023-03-02 08:00:00,36.426425244949286
2023-03-02 09:00:00,36.11428132617882
2023-03-02 10:00:00,37.234225451932836
2023-03-02 11:00:00,37.89723582376216
2023-03-02 12:00:00,43.644516275741275
2023-03-02 13:00:00,53.79752791468838
2023-03-02 14:00:00,49.739402510734116
2023-03-02 15:00:00,40.444013311067664
2023-03-02 16:00:00,39.792148277823266
2023-03-02 17:00:00,26.13924386900738
2023-03-02 18:00:00,25.502897572018195
2023-03-02 19:00:00,24.818481192714383
2023-03-02 20:00:00,17.048537321811672
2023-03-02 21:00:00,13.391279885925824
2023-03-02 22:00:00,7.622196936617067
2023-03-02 23:00:00,7.318560991916606
2023-03-03 00:00:00,7.318560991916606
2023-03-03 01:00:00,7.318560991916606
2023-03-03 02:00:00,7.318560991916606
2023-03-03 03:00:00,7.318560991916606
2023-03-03 04:00:00,11.667948747018647
2023-03-03 05:00:00,13.117744665385993
2023-03-03 06:00:00,11.377989563345178
2023-03-03 07:00:00,20.387441471114133
2023-03-03 08:00:00,32.26907045032538
2023-03-03 09:00:00,43.73135796420363
2023-03-03 10:00:00,43.77336537222165
2023-03-03 11:00:00,51.605439195464626
2023-03-03 12:00:00,40.333557927160065
2023-03-03 13:00:00,32.17174250572209
2023-03-03 14:00:00,35.52639130243248
2023-03-03 15:00:00,38.37859161542153
2023-03-03 16:00:00,37.02683295840607
2023-03-03 17:00:00,32.26396456629486
2023-03-03 18:00:00,44.401402143785
2023-03-03 19:00:00,38.92430462671293
2023-03-03 20:00:00,20.140834744050046
2023-03-03 21:00:00,19.232242549135528
2023-03-03 22:00:00,14.479816689505046
2023-03-03 23:00:00,6.615330048113829
2023-03-04 00:00:00,5.901581414234047
2023-03-04 01:00:00,5.901581414234047
2023-03-04 02:00:00,5.901581414234047
2023-03-04 03:00:00,5.901581414234047
2023-03-04 04:00:00,5.901581414234047
2023-03-04 05:00:00,5.901581414234047
2023-03-04 06:00:00,6.332302134954768
2023-03-04 07:00:00,11.356208450599587
2023-03-04 08:00:00,19.257543584931277
2023-03-04 09:00:00,40.60228749993482
2023-03-04 10:00:00,55.17055582879589
2023-03-04 11:00:00,50.962030966851486
2023-03-04 12:00:00,46.78537624946247
2023-03-04 13:00:00,53.66569984819973
2023-03-04 14:00:00,62.718245761053566
2023-03-04 15:00:00,59.34474579194335
2023-03-04 16:00:00,58.63214121770072
2023-03-04 17:00:00,61.1159231118704
2023-03-04 18:00:00,67.5628935397422
2023-03-04 19:00:00,60.81625171352041
2023-03-04 20:00:00,46.92870390980451
2023-03-04 21:00:00,34.13406322783958
2023-03-04 22:00:00,15.282250011464308
2023-03-04 23:00:00,9.285939291069969
2023-03-05 00:00:00,6.659435963371189
2023-03-05 01:00:00,5.556794453937227
2023-03-05 02:00:00,5.556794453937227
2023-03-05 03:00:00,5.556794453937227
2023-03-05 04:00:00,5.556794453937227
2023-03-05 05:00:00,5.556794453937227
2023-03-05 06:00:00,5.556794453937227
2023-03-05 07:00:00,8.602292699551263
2023-03-05 08:00:00,18.58919907913659
2023-03-05 09:00:00,22.291462523607372
2023-03-05 10:00:00,31.804930489164104
2023-03-05 11:00:00,42.33416127065256
2023-03-05 12:00:00,38.04033023126175
2023-03-05 13:00:00,41.80996633334809
2023-03-05 14:00:00,25.327981827194012
2023-03-05 15:00:00,38.249796735332026
2023-03-05 16:00:00,55.46130129246595
2023-03-05 17:00:00,42.59023760938223
2023-03-05 18:00:00,25.04630251786161
2023-03-05 19:00:00,24.561380673231742
2023-03-05 20:00:00,12.501122242543861
2023-03-05 21:00:00,3.9355885043794006
2023-03-05 22:00:00,6.514227679637132
2023-03-05 23:00:00,6.3874029373690915
2023-03-06 00:00:00,3.6490730404618748
2023-03-06 01:00:00,5.678669814655422
2023-03-06 02:00:00,7.70826658884897
2023-03-06 03:00:00,7.70826658884897
2023-03-06 04:00:00,7.70826658884897
2023-03-06 05:00:00,7.70826658884897
2023-03-06 06:00:00,8.507400150492806
2023-03-06 07:00:00,18.785575216485192
2023-03-06 08:00:00,31.765657673472564
2023-03-06 09:00:00,41.84875423817231
2023-03-06 10:00:00,51.80117806072725
2023-03-06 11:00:00,39.68361087699486
2023-03-06 12:00:00,46.98266305660156
2023-03-06 13:00:00,46.88033828518541
2023-03-06 14:00:00,48.775045090762234
2023-03-06 15:00:00,54.996377406970225
2023-03-06 16:00:00,28.96381277647898
