date,actual,yhat_lstm,yhat_prophet,yhat_tbats,hour,error_yhat_lstm_lag24,error_yhat_prophet_lag24,error_yhat_tbats_lag24,rank_lstm,rank_prophet,rank_tbats
2023-06-02 03:00:00,2.411242720622971,6.5511284,1.6901944656439056,5.160311894084139,3,1.2767566613138681,0.6554813270139852,0.07514772428933847,3.0,2.0,1.0
2023-06-02 04:00:00,2.411242720622971,6.5511284,2.070629668458458,4.417965821568145,4,1.1147216613138682,1.0359165298018358,0.07192198135031524,3.0,2.0,1.0
2023-06-02 05:00:00,4.5721329645254105,6.5511284,6.336922583726551,6.6369415039481865,5,0.9329961810097833,3.2544916024517674,1.2444850238468197,1.0,3.0,2.0
2023-06-02 06:00:00,10.706858634356,9.509689,13.883101640442868,16.76888800951343,6,9.989015379631354,1.126516439315857,5.180081910802208,3.0,1.0,2.0
2023-06-02 07:00:00,7.498470579121466,17.570328,22.34838988425552,18.471579915203847,7,0.17708075090096997,1.5446566351383382,2.5078368125755333,1.0,2.0,3.0
2023-06-02 08:00:00,16.11454666972624,10.810799,29.712655288788028,14.233692114748674,8,0.8224908418898487,1.7811994467254166,5.418264472122409,1.0,2.0,3.0
2023-06-02 09:00:00,37.39841039581227,21.703571,35.46617321448376,33.27762426158657,9,5.394714893903505,2.7954541082499134,9.803299991907444,2.0,1.0,3.0
2023-06-02 10:00:00,27.102294133694585,56.368958,39.90491116501908,50.52960014807319,10,24.224949160055715,23.05378032500159,21.56726996097337,3.0,2.0,1.0
2023-06-02 11:00:00,21.377254401516744,40.920742,42.74088102207584,37.134654831717306,11,2.7276323017866844,25.600940323873225,8.301465732337956,1.0,3.0,2.0
2023-06-02 12:00:00,30.2361823142669,33.713646,42.90689293809956,36.962607662988674,12,0.5821769197781421,20.418560857704904,5.066266668851281,1.0,3.0,2.0
2023-06-02 13:00:00,27.825667148486698,37.864796,39.964652923701664,36.086141956820896,13,11.883557440643958,17.304240364468054,7.642885405846485,2.0,3.0,1.0
2023-06-02 14:00:00,33.9092912549532,38.127304,35.508373902402674,34.58395081232005,14,9.268147394782275,9.194368297265086,2.511196852567636,3.0,2.0,1.0
2023-06-02 15:00:00,32.68111969143764,45.011955,32.63899482642536,37.90816749747975,15,8.675593476086735,5.91561830249243,1.5700195631554799,3.0,2.0,1.0
2023-06-02 16:00:00,25.098611288726023,40.856834,33.46773817467766,35.07245135311799,16,0.9992257963548141,3.1078659709241343,4.232031819872162,1.0,2.0,3.0
2023-06-02 17:00:00,28.18880253264032,35.66717,36.83995145790395,37.6494118902747,17,24.798072190988687,23.414165648999695,22.818829250766942,3.0,2.0,1.0
2023-06-02 18:00:00,37.39538529847997,40.037838,38.67752593219917,44.628385438007264,18,4.926646043605654,10.610492888589555,1.469200620231355,2.0,3.0,1.0
2023-06-02 19:00:00,48.12209155486551,42.80679,35.07824037536859,38.36128104543832,19,6.481165165652506,0.7616774589820423,2.0365186129937314,3.0,1.0,2.0
2023-06-02 20:00:00,41.96153957329658,53.591972,25.6471050781044,38.609588474085164,20,26.85137302985211,4.036575107511698,7.317377188514655,3.0,1.0,2.0
2023-06-02 21:00:00,24.94481441354156,44.098763,14.085009547308148,25.46635652045912,21,13.867881080708166,2.937217628248927,2.309677639929893,3.0,2.0,1.0
2023-06-02 22:00:00,10.214541939377956,22.024637,5.401018952953979,15.276110379832682,22,10.137562109056795,1.1214049378785829,3.9666409300198238,3.0,1.0,2.0
2023-06-02 23:00:00,1.4762101939814245,10.8427105,2.1319136767146176,10.477924938983737,23,5.7547213132753345,1.1930070100398553,3.482967363602436,3.0,1.0,2.0
2023-06-03 00:00:00,1.9969937305667904,2.3605335,2.8235931027218406,4.429515702998804,0,2.791736279377029,0.412350382157177,2.1708268280444494,3.0,1.0,2.0
2023-06-03 01:00:00,2.3689819709849087,5.6483774,3.9359045229248792,7.315310670645037,1,3.1417932793770285,1.5246618022421479,2.921072896059201,3.0,1.0,2.0
2023-06-03 02:00:00,2.3689819709849087,7.5781317,3.2536826576757782,5.562645923640767,2,3.973511279377029,0.8424399369932569,2.220162013639316,3.0,1.0,2.0
2023-06-03 03:00:00,2.3689819709849087,7.470155,1.6901944656862575,6.33500912675399,3,4.139885679377029,0.7210482549790656,2.749069173461168,3.0,1.0,2.0
2023-06-03 04:00:00,1.2189223218621024,7.406671,2.0706296683724013,5.3269770096278615,4,4.139885679377029,0.340613052164513,2.0067231009451736,3.0,1.0,2.0
2023-06-03 05:00:00,1.2189223218621024,2.5974538,6.336922583774335,3.826878000216909,5,1.9789954354745891,1.7647896192011405,2.064808539422776,2.0,1.0,3.0
2023-06-03 06:00:00,6.441873888908684,2.7743309,13.88310164011232,10.757389071863424,6,1.1971696343559994,3.176243006086869,6.0620293751574295,1.0,2.0,3.0
2023-06-03 07:00:00,23.50842035265641,10.621264,22.34838988393704,13.530300719294289,7,10.071857420878533,14.849919305134055,10.97310933608238,1.0,3.0,2.0
2023-06-03 08:00:00,33.664119170897344,32.201584,29.71265528869843,31.08305979372391,8,5.303747669726242,13.598108619061787,1.8808545549775673,2.0,3.0,1.0
2023-06-03 09:00:00,32.128658747766515,43.570526,35.46617321462111,44.33696542155177,9,15.69483939581227,1.9322371813285102,4.120786134225703,3.0,1.0,2.0
2023-06-03 10:00:00,37.00334055095824,40.43933,39.9049111648712,40.65630126868245,10,29.266663866305414,12.802617031324495,23.42730601437861,3.0,1.0,2.0
2023-06-03 11:00:00,28.438279793981835,44.9292,42.74088102206513,47.43752660678361,11,19.543487598483253,21.363626620559096,15.757400430200562,2.0,3.0,1.0
