date,actual,yhat_lstm,yhat_prophet,yhat_tbats,hour,error_yhat_lstm,error_yhat_prophet,error_yhat_tbats,rank_lstm,rank_prophet,rank_tbats
2023-02-12 17:00:00,12.535006873762272,24.751482,23.42739872578084,29.28448339998797,17,12.216475126237727,10.892391852018568,16.7494765262257,2.0,1.0,3.0
2023-02-12 18:00:00,11.255577483692583,12.363999,20.99662430080902,28.735802704084428,18,1.1084215163074163,9.741046817116437,17.480225220391844,1.0,2.0,3.0
2023-02-12 19:00:00,11.002489664220416,11.813214,17.461248502775526,24.510974451150148,19,0.8107243357795841,6.458758838555109,13.508484786929731,1.0,2.0,3.0
2023-02-12 20:00:00,11.72835191078794,11.990167,12.800411983170983,16.2391515666582,20,0.2618150892120603,1.072060072383044,4.510799655870262,1.0,2.0,3.0
2023-02-12 21:00:00,7.094248029900776,13.154234,7.802773409195149,9.356027728682744,21,6.059985970099224,0.7085253792943726,2.261779698781967,3.0,1.0,2.0
2023-02-12 22:00:00,2.3552799302256875,7.1724453,3.7800929356022177,5.761236888835304,22,4.817165369774312,1.4248130053765302,3.405956958609617,3.0,1.0,2.0
2023-02-12 23:00:00,0.5136272356149091,0.97800916,1.731182057449292,4.073391742288474,23,0.46438192438509096,1.217554821834383,3.5597645066735653,1.0,2.0,3.0
2023-02-13 00:00:00,0.5136272356149091,0.0030262829,1.5847111748363876,3.206591407547257,0,0.5106009527149091,1.0710839392214786,2.692964171932348,1.0,2.0,3.0
2023-02-13 01:00:00,0.5136272356149091,1.9469528,2.2112278517734456,2.833610367090258,1,1.433325564385091,1.6976006161585366,2.319983131475349,1.0,2.0,3.0
2023-02-13 02:00:00,0.5136272356149091,2.6038206,2.3082285216604124,2.7082698261071227,2,2.090193364385091,1.7946012860455034,2.1946425904922138,2.0,1.0,3.0
2023-02-13 03:00:00,0.5136272356149091,2.6038206,1.5004027904546329,2.543567482120199,3,2.090193364385091,0.9867755548397238,2.02994024650529,3.0,1.0,2.0
2023-02-13 04:00:00,0.5136272356149091,2.6038206,0.7501076702099319,2.550172824689233,4,2.090193364385091,0.23648043459502277,2.036545589074324,3.0,1.0,2.0
2023-02-13 05:00:00,0.5136272356149091,2.6038206,1.7017096719989908,3.5688176724193124,5,2.090193364385091,1.1880824363840818,3.0551904368044034,2.0,1.0,3.0
2023-02-13 06:00:00,7.558868681694712,2.6038206,5.452339658147011,7.102734896589775,6,4.955048081694711,2.1065290235477008,0.45613378510493696,3.0,2.0,1.0
2023-02-13 07:00:00,12.610517961010457,13.740915,11.700701973154626,14.689561782709394,7,1.1303970389895426,0.909815987855831,2.079043821698937,2.0,1.0,3.0
2023-02-13 08:00:00,19.03910185000837,18.305275,18.89007934917882,24.972263531137767,8,0.73382685000837,0.14902250082955248,5.933161681129395,2.0,1.0,3.0
2023-02-13 09:00:00,34.594467395432225,22.392832,25.151895332554016,33.989365868032166,9,12.201635395432227,9.44257206287821,0.6051015274000591,3.0,2.0,1.0
2023-02-13 10:00:00,39.53866456056848,35.066666,29.28389121454872,39.02879244748055,10,4.47199856056848,10.254773346019757,0.5098721130879298,2.0,3.0,1.0
2023-02-13 11:00:00,27.95790566841096,35.30053,31.10859859409332,39.99527258194531,11,7.342624331589043,3.1506929256823604,12.037366913534349,2.0,1.0,3.0
2023-02-13 12:00:00,30.66129319136499,24.65867,31.15981952430912,39.52352884241418,12,6.0026231913649895,0.49852633294413096,8.86223565104919,2.0,1.0,3.0
2023-02-13 13:00:00,29.5136028352588,28.581848,30.144291826580684,40.04664128383214,13,0.9317548352588005,0.6306889913218825,10.533038448573336,2.0,1.0,3.0
2023-02-13 14:00:00,27.80917179235357,27.116556,28.618120187240446,39.988001240768426,14,0.6926157923535712,0.8089483948868761,12.178829448414856,1.0,2.0,3.0
2023-02-13 15:00:00,37.51654242663724,25.78105,26.93716290028861,36.41070845329779,15,11.735492426637236,10.579379526348628,1.1058339733394504,3.0,2.0,1.0
2023-02-13 16:00:00,34.38867150100126,33.88958,25.254167116122236,31.47542759772974,16,0.49909150100126,9.134504384879026,2.913243903271521,1.0,3.0,2.0
2023-02-13 17:00:00,29.38022139951561,30.152931,23.42739872586048,29.28448339998794,17,0.7727096004843901,5.9528226736551275,0.09573799952766748,2.0,3.0,1.0
2023-02-13 18:00:00,33.971934585464815,26.436998,20.996624300923443,28.735802704084403,18,7.534936585464816,12.975310284541372,5.2361318813804125,2.0,3.0,1.0
2023-02-13 19:00:00,18.04828394895923,30.82376,17.461248502788298,24.510974451150105,19,12.77547605104077,0.5870354461709333,6.462690502190874,3.0,1.0,2.0
2023-02-13 20:00:00,15.377219584652115,16.701345,12.800411983367823,16.23915156665822,20,1.3241254153478845,2.576807601284292,0.8619319820061033,2.0,3.0,1.0
2023-02-13 21:00:00,12.632334212982236,15.914058,7.802773409380602,9.356027728682754,21,3.2817237870177642,4.829560803601635,3.2763064842994822,2.0,3.0,1.0
2023-02-13 22:00:00,7.774396715621827,12.827038,3.780092935724772,5.761236888835304,22,5.052641284378173,3.994303779897055,2.0131598267865227,3.0,2.0,1.0
2023-02-13 23:00:00,5.257683901639838,7.376993,1.731182057352127,4.073391742288477,23,2.119309098360162,3.5265018442877105,1.1842921593513607,2.0,3.0,1.0
2023-02-14 00:00:00,2.299051044496982,4.9290667,1.5847111748174854,3.2065914075472595,0,2.630015655503018,0.7143398696794967,0.9075403630502774,3.0,1.0,2.0
2023-02-14 01:00:00,0.6984910444969831,1.89195,2.2112278517525947,2.833610367090258,1,1.1934589555030168,1.5127368072556115,2.1351193225932747,1.0,2.0,3.0
2023-02-14 02:00:00,0.6984910444969831,0.753739,2.3082285216512286,2.708269826107125,2,0.05524795550301698,1.6097374771542454,2.009778781610142,1.0,2.0,3.0
2023-02-14 03:00:00,0.6984910444969831,2.1969886,1.5004027904106323,2.543567482120199,3,1.4984975555030169,0.8019117459136492,1.8450764376232156,2.0,1.0,3.0
2023-02-14 04:00:00,0.6984910444969831,2.7687032,0.750107670216563,2.550172824689233,4,2.070212155503017,0.05161662571957992,1.8516817801922496,3.0,1.0,2.0
2023-02-14 05:00:00,0.6984910444969831,2.7687027,1.7017096720127558,3.5688176724193075,5,2.070211655503017,1.0032186275157726,2.8703266279223243,2.0,1.0,3.0
2023-02-14 06:00:00,1.088630579380704,2.7687027,5.452339658224599,7.10273489658977,6,1.680072120619296,4.363709078843895,6.014104317209066,1.0,2.0,3.0
2023-02-14 07:00:00,11.373476444868883,3.4062533,11.70070197329728,14.689561782709394,7,7.967223144868884,0.3272255284283965,3.3160853378405104,3.0,1.0,2.0
2023-02-14 08:00:00,32.95553447378568,18.976877,18.890079349329607,24.972263531137788,8,13.978657473785681,14.065455124456076,7.983270942647895,2.0,3.0,1.0
2023-02-14 09:00:00,34.210979301930585,39.172943,25.151895332664743,33.989365868032195,9,4.961963698069411,9.059083969265842,0.2216134338983906,2.0,3.0,1.0
2023-02-14 10:00:00,39.93900075085947,33.32162,29.28389121459437,39.02879244748058,10,6.617380750859468,10.655109536265101,0.9102083033788873,2.0,3.0,1.0
2023-02-14 11:00:00,35.63336228581583,34.45299,31.108598594187814,39.99527258194531,11,1.180372285815828,4.524763691628014,4.36191029612948,1.0,3.0,2.0
2023-02-14 12:00:00,26.780487481966063,30.488876,31.159819524263643,39.52352884241418,12,3.7083885180339387,4.37933204229758,12.743041360448117,1.0,2.0,3.0
2023-02-14 13:00:00,22.149291306440407,24.216764,30.14429182662917,40.04664128383214,13,2.067472693559594,7.995000520188764,17.89734997739173,1.0,2.0,3.0
2023-02-14 14:00:00,29.445011600532315,21.28641,28.618120187215865,39.988001240768426,14,8.158601600532315,0.8268914133164493,10.542989640236112,2.0,1.0,3.0
2023-02-14 15:00:00,20.956527969846512,28.46551,26.93716290028793,36.41070845329779,15,7.508982030153486,5.980634930441418,15.454180483451275,2.0,1.0,3.0
2023-02-14 16:00:00,32.76970277326681,20.079723,25.25416711613004,31.475427597729716,16,12.689979773266806,7.515535657136766,1.2942751755370914,3.0,2.0,1.0
2023-02-14 17:00:00,21.270788060843213,31.573662,23.42739872585062,29.28448339998794,17,10.302873939156786,2.156610665007406,8.013695339144729,3.0,1.0,2.0
2023-02-14 18:00:00,12.205121372179487,20.346567,20.996624300882885,28.735802704084374,18,8.141445627820513,8.791502928703398,16.530681331904887,1.0,2.0,3.0
2023-02-14 19:00:00,13.840480384773782,11.986416,17.46124850269298,24.510974451150105,19,1.8540643847737819,3.620768117919196,10.670494066376323,1.0,2.0,3.0
2023-02-14 20:00:00,3.4362016003483307,14.674458,12.800411983249557,16.23915156665822,20,11.238256399651668,9.364210382901227,12.802949966309889,2.0,1.0,3.0
2023-02-14 21:00:00,0.2721891407092046,2.0849237,7.802773409279323,9.356027728682754,21,1.8127345592907955,7.530584268570118,9.083838587973549,1.0,2.0,3.0
2023-02-14 22:00:00,0.2701277826845132,-1.5767375,3.7800929356758672,5.761236888835311,22,1.846865282684513,3.509965152991354,5.491109106150798,1.0,2.0,3.0
2023-02-14 23:00:00,0.2701277826845132,1.3082318,1.731182057390523,4.073391742288477,23,1.0381040173154867,1.4610542747060098,3.8032639596039637,1.0,2.0,3.0
