Train Size,Train R²,Test R²
139,0.8681693845530914,0.864638619037081
268,0.7027591574613142,0.8416311127599024
397,0.7983145442643917,0.7755971266443461
526,0.8663178827074518,0.879897664813343
655,0.8638377262204158,0.7550231263430623
784,0.8649079189778214,0.8344793094041165
913,0.8572898382114088,0.8220388736547576
1042,0.7990971960141244,-0.9213295830157928
1171,0.8543676674826131,0.7988795319627335
1300,0.8484707154542775,0.7877837345476768
